"iso2c","country","year","EN.ATM.METH.KT.CE","EG.USE.ELEC.KH.PC","EN.ATM.CO2E.PC","SP.POP.GROW","EG.USE.COMM.CL.ZS"
"NO","Norway",1997,NA,24326.0342366912,7.8240419126946,0.54221993602931,39.2436010491566
"NO","Norway",1998,NA,25424.1036370825,8.26333283989219,0.595410343346654,39.6160263748982
"NO","Norway",1999,NA,25057.1895955838,9.18411564725713,0.684759433412698,39.7052988998497
"NO","Norway",2000,17151.7,24993.7262954727,8.62416802439207,0.649044821192665,46.7544500036487
"NO","Norway",2001,NA,25590.6894288143,9.1119496844199,0.506046910557235,38.6308332068273
"NO","Norway",2002,NA,24620.3361318984,8.26217746006696,0.539290805050494,44.6871489887947
"NO","Norway",2003,NA,23201.394129715,9.33929818143183,0.586532691986894,33.6422140461326
"NO","Norway",2004,NA,24214.1069838041,9.28746643553554,0.590930939690253,35.473756476191
"NO","Norway",2005,16896.9,25083.2145326781,9.17921692577863,0.681072964187373,43.7491880197094
"NO","Norway",2006,NA,24099.9322630596,9.49583569082346,0.805392739160981,38.0421915296618
"NO","Norway",2007,NA,24855.00046399,9.57484965980082,1.03473451527827,42.0045918849449
"NO","Norway",2008,17172.7,24866.1343077867,10.5544610852034,1.24633301535167,40.4736195861041
"NO","Norway",2009,NA,23859.7095797111,10.818605570082,1.2611272893768,36.437615956905
"NO","Norway",2010,17148,24890.9240104621,11.616193233648,1.24566617956207,31.2479871707756
"NO","Norway",2011,NA,23510.3838252016,9.19287906857298,1.297189390693,37.3458257603335
"NP","Nepal",1990,20285.8,35.4823962494734,0.0338491922392476,2.46455608384765,1.30281242485967
"NP","Nepal",1991,NA,37.5312114648806,0.0499421904982409,2.61018989003535,1.29503444641042
"NP","Nepal",1992,NA,37.3376533031934,0.0673454395699188,2.70892888287245,1.17854632124461
"NP","Nepal",1993,NA,38.7934890150181,0.0722110275218635,2.73041310120443,1.19202283917415
"NP","Nepal",1994,NA,41.6118932543717,0.0813934864251505,2.65600265142661,1.22784412493169
"NP","Nepal",1995,NA,44.2244028478459,0.0951425383825509,2.51601389740169,1.48507785357574
"NP","Nepal",1996,NA,46.5699539605783,0.113513167015287,2.36365062016763,1.47773460779201
"NP","Nepal",1997,NA,46.8849483999886,0.124278736465822,2.22464109546563,1.28721594100218
"NP","Nepal",1998,NA,49.5922068689492,0.098464495828307,2.08240336329844,1.33613805193858
"NP","Nepal",1999,NA,55.4148429343051,0.138092158743967,1.94264209933429,1.57998736489263
